timestamps,TP9,AF7,AF8,TP10,Right AUX
1706612753.485,-40.039,-122.559,-61.523,-54.688,-112.305
1706612753.489,-34.180,-138.184,-65.918,-66.895,-17.578
1706612753.493,-24.414,-154.297,-61.035,-56.152,-2.930
1706612753.497,-42.480,-145.996,-61.035,-46.875,-34.180
1706612753.501,-47.363,-137.695,-64.941,-50.293,13.672
1706612753.505,-37.109,-144.531,-68.359,-52.734,49.316
1706612753.508,-32.715,-176.270,-72.754,-45.898,233.887
1706612753.512,-32.227,-132.812,-70.801,-62.500,238.281
1706612753.516,-47.852,-91.797,-58.105,-55.664,7.324
1706612753.520,-38.574,-130.371,-55.664,-29.297,16.602
1706612753.524,-20.020,-133.789,-62.012,-49.805,0.977
1706612753.526,-31.250,-130.371,-62.500,-67.383,-97.168
1706612753.530,-42.969,-134.277,-58.105,-70.801,-45.410
1706612753.534,-45.898,-138.184,-58.594,-55.664,21.484
1706612753.538,-34.668,-125.000,-55.176,-40.527,71.777
1706612753.542,-34.668,-103.027,-47.363,-54.688,34.668
1706612753.546,-47.852,-126.953,-48.340,-64.453,16.113
1706612753.550,-52.734,-148.926,-52.734,-55.664,148.926
1706612753.553,-49.805,-141.602,-52.734,-41.504,326.660
1706612753.557,-30.762,-94.238,-46.387,-45.898,89.844
1706612753.561,-12.695,-108.398,-41.016,-37.109,-121.582
1706612753.565,-37.109,-151.855,-47.363,-42.969,-41.504
1706612753.569,-59.570,-130.371,-43.945,-66.406,-49.805
1706612753.572,-63.965,-119.141,-47.363,-77.637,-106.934
1706612753.576,-56.641,-130.371,-57.129,-69.824,-31.738
1706612753.580,-31.250,-137.207,-57.129,-53.223,69.824
1706612753.584,-29.297,-135.254,-55.176,-62.012,-0.977
1706612753.588,-43.945,-132.324,-49.316,-76.172,-131.836
1706612753.592,-33.691,-153.320,-47.852,-55.664,-35.156
1706612753.596,-40.039,-176.758,-53.711,-40.039,291.504
1706612753.599,-66.406,-125.488,-50.293,-62.012,146.973
1706612753.603,-39.062,-116.211,-44.922,-72.266,-121.094
1706612753.607,-29.785,-143.555,-42.969,-79.590,-30.273
